,Player,Total
294,Caris LeVert,1819
70,Dillon Brooks,1817
105,Mike Conley,1813
539,Ivica Zubac,1805
52,Bojan Bogdanović,1793
198,Tim Hardaway Jr.,1782
411,Bobby Portis,1769
303,Kyle Lowry,1768
281,Kyle Kuzma,1751
494,Myles Turner,1737
128,Donte DiVincenzo,1735
139,Kevin Durant,1735
184,Danny Green,1733
412,Kristaps Porziņģis,1718
169,Darius Garland,1718
367,Nerlens Noel,1711
49,Eric Bledsoe,1710
258,Keldon Johnson,1708
136,Andre Drummond,1702
431,Duncan Robinson,1693
224,Justin Holiday,1680
375,Royce O'Neale,1677
424,Naz Reid,1671
468,Isaiah Stewart,1669
533,Christian Wood,1663
77,Jalen Brunson,1656
213,Gordon Hayward,1622
526,Robert Williams,1614
182,Devonte' Graham,1613
389,Kelly Oubre Jr.,1610
100,Brandon Clarke,1605
476,Daniel Theis,1603
2,Steven Adams,1594
33,Nicolas Batum,1590
14,Carmelo Anthony,1585
117,Anthony Davis,1581
43,Saddiq Bey,1571
460,Marcus Smart,1519
370,Kendrick Nunn,1514
155,Dorian Finney-Smith,1513
93,Wendell Carter Jr.,1511
71,Bruce Brown,1510
506,Kemba Walker,1507
45,Khem Birch,1498
525,Patrick Williams,1492
231,Dwight Howard,1487
331,Doug McDermott,1484
216,Tyler Herro,1481
188,Jeff Green,1466
16,OG Anunoby,1464
175,Shai Gilgeous-Alexander,1453
51,Bogdan Bogdanović,1445
246,Josh Jackson,1444
427,Josh Richardson,1438
442,D'Angelo Russell,1434
248,Reggie Jackson,1433
171,Rudy Gay,1433
31,Will Barton,1420
508,John Wall,1415
438,Derrick Rose,1414
491,Gary Trent Jr.,1402
80,Reggie Bullock,1401
267,DeAndre Jordan,1399
112,Jae Crowder,1397
346,Shake Milton,1380
523,Kenrich Williams,1375
86,Kentavious Caldwell-Pope,1368
192,Rui Hachimura,1362
150,Derrick Favors,1345
180,Aaron Gordon,1345
300,Robin Lopez,1331
114,Seth Curry,1327
353,Marcus Morris,1324
497,Jarred Vanderbilt,1322
160,Evan Fournier,1304
268,Cory Joseph,1298
436,Isaiah Roby,1294
266,Tyus Jones,1289
28,Desmond Bane,1289
344,Patty Mills,1289
106,Pat Connaughton,1288
345,Paul Millsap,1285
524,Lou Williams,1284
381,Isaac Okoro,1278
364,Raul Neto,1268
36,Darius Bazley,1257
397,Elfrid Payton,1253
308,Théo Maledon,1243
396,Cameron Payne,1241
229,Talen Horton-Tucker,1234
87,Facundo Campazzo,1232
372,Jusuf Nurkić,1232
313,Lauri Markkanen,1230
135,Goran Dragić,1227
447,Tomáš Satoranský,1224
23,Dwayne Bacon,1223
387,Cedi Osman,1220
481,Tristan Thompson,1218
35,Kent Bazemore,1207
439,Terrence Ross,1193
339,De'Anthony Melton,1187
208,Josh Hart,1185
47,Bismack Biyombo,1183
125,Hamidou Diallo,1179
417,Immanuel Quickley,1176
82,Alec Burks,1172
483,Matisse Thybulle,1169
38,Malik Beasley,1162
167,Danilo Gallinari,1157
130,Luguentz Dort,1156
329,Jaden McDaniels,1154
538,Cody Zeller,1152
24,Marvin Bagley III,1152
15,Cole Anthony,1150
256,Cameron Johnson,1140
383,Victor Oladipo,1138
166,Daniel Gafford,1132
74,Moses Brown,1129
485,Xavier Tillman Sr.,1126
237,Serge Ibaka,1122
41,Dāvis Bertāns,1119
291,Alex Len,1114
310,Terance Mann,1094
211,Jaxson Hayes,1091
190,Blake Griffin,1086
507,Lonnie Walker,1076
7,Grayson Allen,1074
263,Derrick Jones Jr.,1073
488,Juan Toscano-Anderson,1071
518,Derrick White,1071
416,Payton Pritchard,1066
186,JaMychal Green,1065
319,Kenyon Martin Jr.,1055
360,Sviatoslav Mykhailiuk,1045
95,Alex Caruso,1044
238,Andre Iguodala,1041
362,Larry Nance Jr.,1038
158,Bryn Forbes,1037
298,Kevon Looney,1032
215,Willy Hernangómez,1032
355,Monte Morris,1029
474,Garrett Temple,1028
274,Maxi Kleber,1013
272,Luke Kennard,1011
119,Terence Davis,1001
27,Mo Bamba,994
6,Nickeil Alexander-Walker,991
75,Sterling Brown,990
413,Dwight Powell,990
452,Landry Shamet,989
170,Marc Gasol,981
406,Jordan Poole,974
504,Dean Wade,967
173,Taj Gibson,966
228,Al Horford,965
257,James Johnson,964
378,Chuma Okeke,963
435,Mitchell Robinson,950
278,Furkan Korkmaz,930
365,Georges Niang,924
109,DeMarcus Cousins,918
19,D.J. Augustin,915
324,Tyrese Maxey,906
354,Markieff Morris,902
289,Damion Lee,900
457,Anfernee Simons,896
333,JaVale McGee,891
147,Drew Eubanks,888
222,Aaron Holiday,885
