Player,Total
Otto Porter,593
Bobby Portis,1769
Kristaps Porziņģis,1718
Dwight Powell,990
Norman Powell,2054
Taurean Prince,798
Payton Pritchard,1066
Immanuel Quickley,1176
Jahmi'us Ramsey,75
Chasson Randle,500
Julius Randle,3181
Cam Reddish,535
J.J. Redick,489
Paul Reed,273
Naz Reid,1671
Cameron Reynolds,23
Nick Richards,23
Josh Richardson,1438
Grant Riller,33
Austin Rivers,602
Andre Roberson,38
Duncan Robinson,1693
Glenn Robinson III,222
Jerome Robinson,177
Justin Robinson,50
Mitchell Robinson,950
Isaiah Roby,1294
Rajon Rondo,784
Derrick Rose,1414
Terrence Ross,1193
Terry Rozier,2609
Ricky Rubio,1819
D'Angelo Russell,1434
Domantas Sabonis,3020
Luka Šamanić,248
JaKarr Sampson,272
Dario Šarić,821
Tomáš Satoranský,1224
Dennis Schröder,1828
Mike Scott,528
Jay Scrubb,49
Collin Sexton,2155
Landry Shamet,989
Iman Shumpert,4
Pascal Siakam,2274
Chris Silva,87
Ben Simmons,2266
Anfernee Simons,896
Deividas Sirvydis,73
Alen Smailagić,75
Marcus Smart,1519
Dennis Smith Jr.,454
Ish Smith,874
Jalen Smith,111
Tony Snell,618
Ray Spalding,10
Cassius Stanley,60
Lamar Stevens,387
Isaiah Stewart,1669
Max Strus,391
Edmond Sumner,713
Jae'Sean Tate,1966
Jayson Tatum,2882
Jeff Teague,776
Garrett Temple,1028
Tyrell Terry,37
Daniel Theis,1603
Brodric Thomas,273
Isaiah Thomas,24
Khyri Thomas,212
Matt Thomas,214
Tristan Thompson,1218
Sindarius Thornwell,137
Matisse Thybulle,1169
Killian Tillie,140
Xavier Tillman Sr.,1126
Anthony Tolliver,42
Obi Toppin,575
Juan Toscano-Anderson,1071
Axel Toupane,44
Karl-Anthony Towns,2468
Gary Trent Jr.,1402
P.J. Tucker,714
Rayjon Tucker,55
Myles Turner,1737
Jonas Valančiūnas,2591
Denzel Valentine,874
Jarred Vanderbilt,1322
Fred VanVleet,2191
Anderson Varejão,40
Devin Vassell,838
Gabe Vincent,452
Noah Vonleh,-4
Nikola Vučević,3427
Dean Wade,967
Moritz Wagner,667
Kemba Walker,1507
Lonnie Walker,1076
John Wall,1415
Brad Wanamaker,817
T.J. Warren,89
P.J. Washington,1986
Yuta Watanabe,644
Tremont Waters,257
Paul Watson,233
Quinndary Weatherspoon,91
Russell Westbrook,3448
Coby White,1906
Derrick White,1071
Hassan Whiteside,739
Greg Whittington,-3
Andrew Wiggins,2403
Grant Williams,756
Kenrich Williams,1375
Lou Williams,1284
Patrick Williams,1492
Robert Williams,1614
Zion Williamson,2838
D.J. Wilson,415
Dylan Windler,418
Justise Winslow,381
Cassius Winston,78
James Wiseman,843
Christian Wood,1663
Robert Woodard,46
Delon Wright,1894
Thaddeus Young,2226
Trae Young,2739
Cody Zeller,1152
Ivica Zubac,1805
